"Título","Tipo de activo","Suministró los datos","Categoría","Descripción","Etapa de publicación","Municipio","Nombre entidad","Orden","Departamento","Frequencia actualización","Fecha de creación","Fecha de publicación","Fecha última actualización","CALIFICACIÓN FINAL CALIDAD","NIVEL SELLO EXCELENCIA"
"Control de Comparendos Código Nacional de Policía 2020","dataset","Inspección de Policía Oporapa","Organismos de Control","Comparendos Realizados en el Municipio de Oporapa, debido al incumplimiento de las normas establecidas en el Código Nacional de Policía durante el año 2020","published","Oporapa","Alcaldía de Oporto","Territorial","Huila","Anual","2021 Dec 05 04:03:00 PM","2021 Dec 05 04:11:00 PM","2021 Dec 05 04:11:00 PM","7.83","0"
"RADICACION DE INFORMACION CCM","dataset","Casa de la cultura del meta","Cultura","Radicación de información entrante a la casa de la cultura Jorge Eliecer Gaitan","published","Villavicencio","Casa de la Cultura Jorge Eliecer Gaitán, Meta","Territorial","Meta","Anual","2019 Dec 18 07:48:00 PM","2019 Dec 18 07:57:00 PM","2019 Dec 18 07:57:00 PM","8.05","0"
"Registro de Activos de Información","dataset","Notaría Única de Valdivia - Antioquia","Función pública","Corresponde al inventario de la información pública que la notaría como sujeto obligado genere, obtenga, adquiera, transforme o controle en su calidad de tal, de acuerdo con lo dispuesto en la Ley 1712 de 2014, Decreto 103 de 2015, art. 37 y demás normas concordantes.","published","Valdivia","Notaría Única de Valdivia","Territorial","Antioquia","No aplica","2024 Aug 27 09:23:00 PM","2024 Aug 27 09:27:00 PM","2024 Aug 27 09:27:00 PM","8.11","0"
"Índice de Información Clasificada y Reservada","dataset","Notaría Segunda del Círculo de Villavicencio","Función pública",,"published","Villavicencio","Notaría Segunda del Círculo de Villavicencio","Territorial","Meta","Anual","2024 Jul 25 10:01:00 PM","2024 Jan 08 08:40:00 PM","2024 Jan 08 08:40:00 PM","8.45","0"
"Defunciones por residencia no fetal departamento de Caldas","dataset",,"Salud y Protección Social","Se relacionan las defunciones por residencia no fetales del departamento de Caldas desde la vigencia 2010","published","Manizales","Dirección Territorial de Salud de Caldas","Territorial","Caldas","Trimestral","2024 Aug 21 07:29:00 PM","2024 Mar 09 09:15:00 PM","2024 Mar 09 09:15:00 PM","9.34","0"
"Salones De Belleza - Estética - Barbería","dataset","Alcaldía Municipal de Palmar de Varela Atlántico","Comercio, Industria y Turismo","Listado Salones de belleza , estética y barbería en Palmar de Varela","published","Palmar de Varela","Alcaldía de Palmar de Varela","Territorial","Atlántico","Anual","2017 Aug 08 03:45:00 PM","2017 Aug 08 03:50:00 PM","2020 Dec 21 01:25:00 PM","6.74","0"
"EGRESOS SERVICIO DE URGENCIAS","dataset","HOSPITAL SAN JUAN DE DIOS DE HONDA ESE","Salud y Protección Social","EGRESO SERVICIO DE URGENCIAS EN CORTE  DE FECHAS","published","Honda","Hospital San Juan de Dios","Territorial","Tolima","Mensual","2023 Jul 07 05:09:00 PM","2023 Jul 07 08:24:00 PM","2023 Jul 07 08:24:00 PM","9.22","1"
"CANALES DE COMUNICACIÓN MITÚ","dataset","Organización","Participación ciudadana","La Alcaldía De Mitú, reconoce la importancia de la participación ciudadana  como mecanismo efectivo de interlocución con los ciudadanos, organizaciones tanto públicas como privadas y actores de los diferentes sectores de la sociedad, generando relaciones de dialogo permanentes que posibilitan atender de manera efectiva las disposiciones normativas relacionadas con los derechos y deberes de la población.","published","Mitú","Alcaldía de Mitú","Territorial","Vaupés","Anual","2017 Nov 05 03:44:00 PM","2017 Nov 05 03:49:00 PM","2017 Nov 05 03:49:00 PM","8.08","0"
"Mantenimiento de via mediante reparcheo tipo MDC-2 con maquinaria y personal Municipio de Chia 2018","dataset","Alcaldía Municipal  de Chia","Estadísticas Nacionales","Información Mantenimiento de vías mediante reparcheo tipo MDC-2 con maquinaria y personal Municipio de Chia 2018","published","Chía","Alcaldía de Chía","Territorial","Cundinamarca","No aplica","2018 Dec 02 05:18:00 PM","2018 Dec 02 05:21:00 PM","2019 Feb 13 06:15:00 PM","7","0"
"Esquema de Publicación de Información","dataset","Notaría Única de Neira - Caldas","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.(Decreto 103 de 2015, art. 41)","published","Neira","Notaría Única de Neira","Territorial","Caldas","No aplica","2024 Nov 09 08:28:00 PM","2024 Nov 09 08:30:00 PM","2024 Nov 09 08:29:00 PM","7.74","0"
"Esquema de Publicación de Información","dataset","Notaría Segunda de Soacha - Cundinamarca","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme  al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.
(Decreto 103 de 2015, art. 41)","published","Soacha","Notaría 2 de Soacha","Territorial","Cundinamarca","No aplica","2024 Aug 14 08:37:00 PM","2024 Aug 14 08:38:00 PM","2024 Aug 14 08:38:00 PM","7.74","0"
"INSCRITOS POR ESTRATO","dataset","Universidad del Quindío","Educación","Estudiantes inscritos por estrato socioeconómico varios periodos","published","Armenia","Universidad del Quindío","Territorial","Quindío","Semestral","2021 Sep 11 04:24:00 PM","2021 Sep 11 04:31:00 PM","2021 Sep 11 04:30:00 PM","8.24","0"
"Oportunidad de Asignación De Citas Mayo 2018","dataset","E.S.E. Hospital San Rafael de Tunja","Salud y Protección Social","Este conjunto de datos muestra la oportunidad de asignación de citas de la  E.S.E. Hospital San Rafael de Tunja","published","Tunja","Empresa Social del Estado Hospital San Rafael","Territorial","Boyacá","Mensual","2018 Jun 14 09:43:00 PM","2018 Jun 14 10:21:00 PM","2018 Jun 14 10:10:00 PM","7.77","0"
"Índice de Información Clasificada y Reservada","dataset","Notaría Cuarenta y Nueve de Bogotá D.C.","Función pública","Corresponde al inventario de la información pública generada, obtenida, adquirida o controlada por la notaría en calidad de sujeto obligado, que ha sido calificada como clasificada o reservada, de acuerdo con lo dispuesto en la Ley 1712 de 2014, el Decreto 103 de 2015, art. 39 y demás normas concordantes.","published","Bogotá D.C.","Notaría 49 de Bogotá","Territorial","Bogotá D.C.","No aplica","2024 Aug 23 07:04:00 PM","2024 Aug 23 07:09:00 PM","2024 Aug 23 07:09:00 PM","8.47","1"
"Cantidad de habitantes por vereda y genero pertenecientes al sisben del Municipio de Tununguá","dataset","Alcaldía Municipal de Tununguá en Boyacá","Salud y Protección Social","Contiene la información de la cantidad de personas dividida en rangos y en veredas que se encuentran en el sisben.","published","Tununguá","Alcaldía de Tunungá","Territorial","Boyacá","Anual","2016 May 10 10:20:00 PM","2016 May 10 10:26:00 PM","2020 Oct 06 03:10:00 PM","7.53","0"
"Proyectos Vigentes 2018","dataset","Fondo Financiero de Proyectos de Desarrollo - FONADE","Función pública","Consolidado de Proyectos Vigentes 2018","published","Bogotá D.C.","Fondo Financiero de Proyectos de Desarrollo","Nacional","Bogotá D.C.","Semestral","2018 Dec 15 11:34:00 PM","2018 Dec 16 12:42:00 AM","2019 Mar 19 10:03:00 PM","8.25","0"
"CATALOGO ACTIVOS DE INFORMACION EQUIPOS DE COMPUTO","dataset","Alcaldia de Melgar","Función pública","CATALOGO ACTIVOS DE INFORMACION EQUIPOS DE COMPUTO VIGENCIA 2020","published","Melgar","Alcaldía de Melgar, Tolima","Territorial","Tolima","Anual","2020 Dec 16 02:15:00 PM","2020 Dec 16 02:30:00 PM","2020 Dec 16 02:30:00 PM","7.66","0"
"Esquema de publicaciones Hospital Municipal de Puerto Colombia","dataset","HOSPITAL DE PUERTO COLOMBIA","Salud y Protección Social","Esquema","published","Puerto Colombia","Hospital de Puerto Colombia","Territorial","Atlántico","No aplica","2024 Mar 11 01:41:00 PM","2024 Mar 11 02:18:00 PM","2024 Mar 11 02:18:00 PM","7.96","0"
"Esquema de Publicación de Información INS","dataset",,"Salud y Protección Social","Contiene el esquema de publicación de información del Instituto Nacional de Salud","published","Bogotá D.C.","Instituto Nacional de Salud","Nacional","Bogotá D.C.","Anual","2019 Mar 04 04:52:00 PM","2019 Mar 04 04:58:00 PM","2019 Mar 04 04:58:00 PM","7.49","0"
"Guadalajara de Buga : Impuesto Predial 1960 - 2000","dataset","SECRETARIA TIC","Hacienda y Crédito Público","El siguiente conjunto de datos de registros de predios con impuesto predial en Guadalajara de Buga desde el año 1960 es una recopilación de información detallada sobre los impuestos prediales pagados por los propietarios de terrenos y propiedades en esta localidad colombiana a lo largo de más de seis décadas. @CU","published","Guadalajara de Buga","Alcaldía de Guadalajara de Buga","Territorial","Valle del Cauca","Semestral","2023 Jul 06 02:55:00 PM","2023 Aug 06 04:54:00 PM","2023 Aug 06 04:53:00 PM","8.87","1"
"Morbilidad urgencias 2023","dataset",,"Salud y Protección Social","Morbilidad urgencias 2023 Hospital San Antonio Pitalito","published","Pitalito","Hospital Departamental San Antonio, Pitalito","Territorial","Huila","Anual","2024 Jul 06 01:26:00 PM","2024 Jul 06 01:46:00 PM","2024 Jul 06 01:46:00 PM","8.87","0"
"Índice de información reservada o clasificada IDEAM","dataset","IDEAM","Ambiente y Desarrollo Sostenible",,"published","Bogotá D.C.","Instituto de Hidrología, Meteorología y Estudios Ambientales","Nacional","Bogotá D.C.","No aplica","2019 Aug 23 09:22:00 PM","2019 Aug 23 09:40:00 PM","2019 Aug 23 09:40:00 PM","6.7","0"
"Información estadística de inmovilización vehículos","dataset","Federación Colombiana de Municipios","Función pública","Información estadística sobre vehículos inmovilizados reportados en el Sistema Integrado de Información sobre Multas y Sanciones por Infracciones de Transito - Simit de la función pública delegada de la Federación Colombiana de Municipios.","published","Bogotá D.C.","Federación Colombiana de Municipios","Nacional","Bogotá D.C.","No aplica","2021 Jan 20 10:11:00 PM","2021 Jan 21 12:11:00 AM","2021 Jan 21 12:11:00 AM","8.2","0"
"INVENTARIO DE LIBROS GENERAL 2023","dataset","Biblioteca del Municipio de Nariño","Cultura","Podremos encontrar el numero libros total que dispone la Biblioteca del Municipio de Nariño, de esa manera como se encuentran clasificados.","published","Nariño","Alcaldía de Nariño","Territorial","Nariño","Anual","2024 Mar 21 02:41:00 PM","2024 Mar 21 04:23:00 PM","2024 Mar 21 04:23:00 PM","8.63","0"
"Pasantías y practicas Universidad del Quindio","dataset","Universidad del Quindio","Educación","Datos de las pasantías y practicas realizadas por los estudiantes de la Universidad","published","Armenia","Universidad del Quindío","Territorial","Quindío","Semestral","2020 Apr 15 09:12:00 PM","2020 Apr 15 09:29:00 PM","2020 Apr 15 09:29:00 PM","7.88","0"
"HOMICIDIO EN ACCIDENTE DE TRÁNSITO","dataset","Ministerio de Defensa Nacional","Seguridad y Defensa","homicidio no intencional como resultado de un comportamiento negligente, temerario o descuidado durante la utilización de un vehículo que no esté dirigido intencionalmente
a la víctima. Se mide en víctimas","published","Bogotá D.C.","Ministerio de Defensa Nacional","Nacional","Bogotá D.C.","Mensual","2022 Jul 04 04:32:00 PM","2022 Dec 20 08:45:00 PM","2024 Nov 18 04:04:00 PM","9.11","0"
"Instituciones Educativas y Directivos del municipio de Quinchía Risaralda","dataset","Alcaldía Municipal de Quinchía en Risaralda","Educación","Listado de las Instituciones Educativas con sus respectivos Centros Educativos, dirección y ubicación, nit de las Intituciones Educativas, nombre del docente directivo de la Institución Educativa y su respectivo director de núcleo con los datos de contacto.","published","Quinchía","Alcaldía de Quinchía","Territorial","Risaralda","Anual","2016 Jul 14 04:02:00 PM","2016 Jul 14 04:02:00 PM","2016 Jul 14 04:02:00 PM","8.11","0"
"Planes","dataset",,,,"published",,,"None",,,"2024 Aug 15 09:47:00 PM","2024 Aug 15 09:51:00 PM","2024 Aug 15 09:51:00 PM","6.49","0"
"Informacion_clasificada_y_reservada Notaria primera Buga","dataset","mintic","Justicia y Derecho","Notaria primera Buga","published","Guadalajara de Buga","Notaría Primera del Círculo de Guadalajara Buga","Nacional","Valle del Cauca","Anual","2022 Sep 27 02:28:00 PM","2022 Sep 27 02:31:00 PM","2022 Sep 27 02:31:00 PM","7.4","0"
"Ruta 14 - Naranjito","dataset",,"Transporte","Ida: Intercambiador Cuba - Calle 71 - Frisby - Cra 26 - Quinta de los Sauces - Villa Cecilia, Barrio Panorama I - barrio Antonio José Valencia - barrio Bella Sardi - Barrio Naranjitos.
Regreso: Barrio Naranjitos - Villa Lina, Panorama II, Panorama I - Villa Cecilia, Quinta de los Sauces - Los Cristales - Colegio Sur Occidente - Subestación de energía - Intersección Av. La Independencia - Almacenes Éxito - Intercambiador Cuba.","published","Pereira","Megabus S.A.","Territorial","Risaralda","No aplica","2018 Jun 18 11:34:00 PM","2018 Jun 18 11:34:00 PM","2018 Jun 18 11:34:00 PM","7.13","0"
"Comentarios Campaña #DerechosQueSeCumplen","dataset",,"Participación ciudadana","A través de la campaña #DerechosQueSeCumplen se invitó a los ciudadanos a escoger los temas de mayor interés para ser abordados por la Corte Constitucional durante su rendición de cuentas.","published","Bogotá D.C.","Ministerio de Tecnologías de la Información y las Comunicaciones","Nacional","Bogotá D.C.","No aplica","2020 Jan 17 03:52:00 PM","2020 Jan 17 03:55:00 PM","2020 Jan 17 03:55:00 PM","7.71","0"
"EMPRESAS REGISTRADAS MONTERIA 2005-2019","dataset",,"Comercio, Industria y Turismo","Empresas registradas en Monteria entre los Tiempos: Años 2005 hasta 2019.
Campos: NIT, nombre, ciudad- municipio de oficina principal y ciudad-municipio de sucursales, estatus (activa, cancelada, otro), ultima fecha de estatus, actividad principal.","published","Montería","Cámara de Comercio de Montería","Territorial","Córdoba","No aplica","2020 Dec 11 03:43:00 PM","2020 Dec 11 03:49:00 PM","2020 Dec 11 03:49:00 PM","7.84","0"
"Superservicios-C8_Informacion_activos_bombas_compresores_plantas_almacenadoras_envasadoras_GLP","dataset","Superintendencia de Servicios Públicos Domiciliarios","Minas y Energía","Información de activos de bombas o compresores de las plantas almacenadoras y envasadoras. GLP","published","Bogotá D.C.","Superintendencia de Servicios Públicos Domiciliarios","Nacional","Bogotá D.C.","Anual","2017 Sep 25 04:25:00 PM","2018 Apr 13 12:31:00 PM","2024 Jul 11 07:08:00 PM","8.76","0"
"Violencia Intrafamiliar del municipio de Neiva","dataset","SECRETARIA DE GOBIERNO","Estadísticas Nacionales","Violencia Intrafamiliar corte a Diciembre","published","Neiva","Alcaldía de Neiva","Territorial","Huila","Semestral","2023 Sep 08 02:28:00 PM","2023 Sep 08 02:37:00 PM","2023 Sep 08 02:37:00 PM","8.3","0"
"RESULTADOS ELECTORALES 2018 CAMARA DE REPRESENTANTES","dataset","Registraduria Nacional del Estado Civil","Resultados Electorales",,"published","Bogotá D.C.","Registraduría Nacional del Estado Civil","Nacional","Bogotá D.C.","No aplica","2021 Feb 09 10:42:00 PM","2021 Feb 09 11:06:00 PM","2021 Feb 09 11:06:00 PM","7.35","0"
"Registro de Activos de Información","dataset","Notaría Única de Cajamarca - Tolima","Función pública","Corresponde al inventario de la información pública que la notaría como sujeto obligado genere, obtenga, adquiera, transforme o controle en su calidad de tal, de acuerdo con lo dispuesto en la Ley 1712 de 2014, Decreto 103 de 2015, art. 37 y demás normas concordantes.","published","Cajamarca","Notaría Única de Cajamarca","Territorial","Tolima","No aplica","2024 Sep 11 02:27:00 PM","2024 Sep 11 03:55:00 PM","2024 Sep 11 03:55:00 PM","8.57","1"
